"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"524","Ilya Lyubushkin","DAL","D","53","745.61666666667","1","8","4","4","9","39.13","31","3.23","1.55","66","44","10","3","0","7","36","14","12","2","0","6","43","8","61","113","75","0","0","-"
"535","Paul Cotter","N.J","L","79","813.33333333333","5","4","2","2","9","60.00","55","9.09","7.76","134","97","70","39","6","15","17","7","6","1","0","18","26","6","190","95","22","66","60","52.38"
"537","Spencer Stastney","EDM, NSH","D","66","900.71666666667","2","7","5","2","9","33.33","53","3.77","1.7","119","77","28","7","2","16","20","10","10","0","0","9","58","14","11","86","49","0","0","-"
"600","Albert Johansson","DET","D","82","1146.05","2","7","3","4","9","29.03","59","3.39","2.88","167","96","45","9","2","9","16","8","8","0","0","13","52","19","49","125","73","0","0","-"
"605","Joel Kiviranta","COL","L","51","464.63333333333","3","6","2","4","9","45.00","48","6.25","5.64","87","67","55","26","2","12","8","4","4","0","0","3","16","6","61","61","13","3","2","60.00"
"613","Max Crozier","T.B","D","35","501.38333333333","1","8","4","4","9","42.86","44","2.27","1.69","99","63","19","4","3","10","38","12","9","2","1","5","21","5","36","74","29","0","0","-"
"647","Justin Barron","NSH","D","52","693.23333333333","0","9","2","7","9","36.00","31","0.00","2.67","88","49","28","9","0","9","17","7","6","1","0","2","50","3","32","73","56","0","0","-"
"654","Alexander Holtz","VGK","R","28","304.95","3","6","2","4","9","64.29","28","10.71","4.83","67","49","37","22","1","6","6","2","2","0","0","1","18","1","29","27","11","3","9","25.00"
"685","Jeff Malott","L.A","L","58","504.5","3","6","5","1","9","50.00","53","5.66","9.6","125","97","80","50","1","21","55","15","10","3","2","11","18","8","166","58","27","4","10","28.57"
"722","Samuel Helenius","L.A","C","53","418.31666666667","5","4","1","3","9","81.82","38","13.16","4.56","84","62","41","23","2","10","50","12","5","6","1","13","14","4","144","40","17","113","134","45.75"
"875","Otto Stenberg","STL","C","32","383.16666666667","3","6","3","3","9","81.82","28","10.71","4.72","59","49","43","21","1","7","5","1","0","1","0","2","14","4","47","28","15","4","7","36.36"
"884","Uvis Balinskis","FLA","D","54","765.1","2","7","4","3","9","33.33","48","4.17","2.41","102","65","33","4","5","8","28","14","14","0","0","11","29","15","68","67","34","0","0","-"
"81","Nick Bjugstad","N.J, STL","C","61","610.71666666667","5","3","2","1","8","50.00","68","7.35","7.01","125","101","70","32","3","18","31","13","12","1","0","10","21","9","108","39","27","151","152","49.83"
"83","Kevin Hayes","PIT","R","28","313.33333333333","4","4","4","0","8","50.00","41","9.76","5.04","73","58","41","21","1","6","8","4","4","0","0","1","18","3","31","7","9","47","77","37.90"
"113","Mike Reilly","CAR","D","42","566.9","0","8","4","4","8","33.33","55","0.00","1.9","136","84","30","2","2","11","24","12","12","0","0","6","22","7","16","46","34","0","0","-"
"142","Luke Glendening","N.J, PHI","C","70","608.81666666667","2","6","5","1","8","57.14","49","4.08","6.52","80","65","53","36","1","8","8","4","4","0","0","3","11","6","94","52","38","254","215","54.16"
"155","Cody Ceci","L.A","D","82","1244.1","1","7","1","6","8","22.22","58","1.72","2.43","182","95","53","4","1","22","12","6","6","0","0","0","60","11","33","162","88","0","0","-"
"212","Adam Erne","DAL","L","45","443.8","6","2","0","2","8","57.14","43","13.95","6.27","87","66","57","34","1","11","19","8","7","1","0","9","16","7","141","24","20","2","8","20.00"
"254","Sonny Milano","WSH","L","31","241.68333333333","4","4","4","0","8","66.67","28","14.29","3.5","51","42","35","15","0","2","4","2","2","0","0","3","15","4","7","17","3","8","4","66.67"
"285","Sammy Blais","MTL, TOR","L","21","172.28333333333","3","5","3","2","8","100.00","18","16.67","2.8","28","23","21","14","0","5","10","5","5","0","0","4","2","4","78","16","11","0","3","0.00"
"309","Jansen Harkins","ANA","C","44","404.43333333333","3","5","5","0","8","88.89","37","8.11","4.82","77","59","43","22","1","11","28","7","4","2","1","14","27","6","113","23","22","86","87","49.71"
"360","Rodrigo Abols","PHI","C","42","407.58333333333","2","6","3","3","8","72.73","40","5.00","5.35","85","63","50","25","2","8","22","8","6","2","0","6","14","10","49","39","20","153","140","52.22"
"428","Conor Timmins","BUF","D","39","592.8","0","8","1","7","8","34.78","42","0.00","1.25","105","67","20","0","1","12","16","8","8","0","0","6","41","5","27","56","55","0","0","-"
"461","Nick DeSimone","UTA","D","40","552.9","2","6","2","4","8","33.33","34","5.88","2.01","80","54","27","6","1","10","10","5","5","0","0","2","32","5","19","65","31","0","0","-"
"468","Jacob Bryson","BUF, WPG","D","50","525.36666666667","2","6","4","2","8","38.10","21","9.52","1.14","59","34","13","4","0","6","10","5","5","0","0","4","17","5","13","63","26","0","0","-"
"474","Alexey Toropchenko","STL","R","65","658.2","3","5","4","1","8","53.33","62","4.84","6.43","106","85","70","36","4","10","28","7","4","2","1","5","29","5","129","61","48","3","0","100.00"
"618","Nikita Nesterenko","ANA","C","29","321.48333333333","1","7","5","2","8","80.00","27","3.70","3.31","64","42","34","15","2","5","8","3","3","0","0","3","13","1","53","12","7","9","10","47.37"
"650","Lukas Reichel","BOS, CHI, VAN","L","29","333.88333333333","3","5","3","2","8","44.44","22","13.64","3.02","47","37","34","14","0","4","6","3","3","0","0","1","19","5","8","26","15","46","69","40.00"
