"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"290","Travis Konecny","PHI","R","77","216.93333333333","2","12","5","7","14","70.00","34","5.88","7.79","75","61","57","22","0","3","4","2","2","0","0","2","6","0","1","8","1","1","8","11.11"
"360","Jordan Kyrou","STL","R","72","156.01666666667","4","10","3","7","14","87.50","29","13.79","3.95","59","37","27","9","0","3","0","0","0","0","0","0","6","2","2","4","0","1","0","100.00"
"408","Eeli Tolvanen","SEA","R","78","144","5","9","5","4","14","73.68","31","16.13","4.42","61","47","31","9","0","5","4","2","2","0","0","0","5","1","0","7","0","0","1","0.00"
"414","Robert Thomas","STL","C","64","164.48333333333","3","11","6","5","14","70.00","20","15.00","2.3","35","23","24","6","0","3","0","0","0","0","0","0","13","1","1","7","0","76","47","61.79"
"583","Marco Rossi","MIN, VAN","C","50","120.63333333333","3","11","5","6","14","51.85","13","23.08","1.17","21","18","8","3","0","2","2","1","1","0","0","2","6","0","0","1","0","12","25","32.43"
"775","Ryan Leonard","WSH","R","75","175.86666666667","4","10","7","3","14","58.33","37","10.81","4.93","69","54","40","15","0","11","6","3","3","0","0","2","6","2","2","11","0","2","1","66.67"
"2","Corey Perry","L.A, T.B","R","72","168.75","5","8","5","3","13","54.17","31","16.13","7.76","48","45","40","33","1","9","4","2","2","0","0","2","8","0","0","5","0","1","8","11.11"
"12","Claude Giroux","OTT","R","82","178.5","1","12","9","3","13","56.52","25","4.00","2.9","45","35","19","7","0","5","0","0","0","0","0","0","11","1","0","5","0","72","43","62.61"
"71","Charlie Coyle","CBJ","C","82","165.45","7","6","4","2","13","68.42","27","25.93","5.84","38","33","36","22","0","10","0","0","0","0","0","0","2","2","5","3","0","29","30","49.15"
"79","Vladimir Tarasenko","MIN","R","75","173.98333333333","5","8","4","4","13","61.90","39","12.82","5.33","69","54","44","17","0","8","0","0","0","0","0","1","6","1","0","10","1","0","0","-"
